,지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),지면온도(°C)
0,168,여수,2019-01-01 1:00,-0.4,,2.6,230.0,45.0,1024.5,,,,0.0,-3.3
1,168,여수,2019-01-01 2:00,-0.1,,3.2,360.0,52.0,1024.4,,,,0.0,-3.1
2,168,여수,2019-01-01 3:00,0.2,,5.4,360.0,54.0,1024.2,,,,0.0,-2.3
3,168,여수,2019-01-01 4:00,0.0,,6.8,320.0,55.0,1023.6,,,,0.0,-2.3
4,168,여수,2019-01-01 5:00,0.1,,6.0,340.0,56.0,1023.8,,,,0.0,-2.2
5,168,여수,2019-01-01 6:00,0.3,,4.3,340.0,57.0,1023.5,,,,0.0,-2.5
6,168,여수,2019-01-01 7:00,0.4,,7.6,340.0,57.0,1023.5,,,,4.0,-2.0
7,168,여수,2019-01-01 8:00,0.3,,3.8,20.0,58.0,1024.0,0.0,0.0,,4.0,-1.7
8,168,여수,2019-01-01 9:00,0.9,,6.9,320.0,56.0,1024.7,0.6,0.1,,4.0,1.0
9,168,여수,2019-01-01 10:00,1.9,,7.7,340.0,55.0,1025.0,1.0,0.69,,5.0,4.1
10,168,여수,2019-01-01 11:00,2.6,,6.5,340.0,52.0,1024.5,1.0,0.91,,2.0,8.6
11,168,여수,2019-01-01 12:00,3.7,,6.9,320.0,48.0,1023.2,1.0,1.58,,3.0,12.4
12,168,여수,2019-01-01 13:00,4.5,,6.6,320.0,45.0,1022.4,1.0,1.74,,2.0,13.1
13,168,여수,2019-01-01 14:00,4.4,,7.7,340.0,47.0,1021.8,1.0,1.37,,6.0,8.2
14,168,여수,2019-01-01 15:00,5.1,,7.2,290.0,50.0,1021.9,1.0,1.5,,7.0,11.9
15,168,여수,2019-01-01 16:00,3.3,,9.0,320.0,56.0,1022.4,0.5,0.39,,7.0,4.8
16,168,여수,2019-01-01 17:00,2.6,,5.4,320.0,57.0,1022.8,0.0,0.0,,6.0,1.9
17,168,여수,2019-01-01 18:00,2.1,,3.1,340.0,59.0,1023.5,0.0,0.0,,7.0,1.3
18,168,여수,2019-01-01 19:00,1.4,,7.6,320.0,61.0,1023.8,,,,8.0,0.0
19,168,여수,2019-01-01 20:00,0.9,,7.9,320.0,57.0,1024.1,,,,4.0,-0.9
20,168,여수,2019-01-01 21:00,0.5,,4.7,320.0,61.0,1024.0,,,,8.0,-0.5
21,168,여수,2019-01-01 22:00,0.6,,6.4,340.0,60.0,1023.8,,,,9.0,-0.1
22,168,여수,2019-01-01 23:00,0.4,,4.8,340.0,63.0,1024.3,,,,8.0,-0.7
23,168,여수,2019-01-02 0:00,0.2,,5.8,320.0,64.0,1024.5,,,,5.0,-1.0
24,168,여수,2019-01-02 1:00,-0.3,,4.5,340.0,66.0,1025.1,,,,5.0,-2.3
25,168,여수,2019-01-02 2:00,-0.5,,7.2,320.0,63.0,1025.1,,,,2.0,-2.1
26,168,여수,2019-01-02 3:00,-0.8,,5.8,320.0,63.0,1025.5,,,,3.0,-2.6
27,168,여수,2019-01-02 4:00,-1.0,,8.2,320.0,62.0,1025.1,,,,3.0,-2.5
28,168,여수,2019-01-02 5:00,-1.3,,7.0,320.0,61.0,1024.9,,,,1.0,-3.0
29,168,여수,2019-01-02 6:00,-1.3,,6.2,320.0,60.0,1024.7,,,,2.0,-3.0
30,168,여수,2019-01-02 7:00,-0.9,,6.7,320.0,60.0,1024.9,,,,3.0,-2.9
31,168,여수,2019-01-02 8:00,-0.6,,5.6,320.0,60.0,1025.5,0.0,0.0,,4.0,-2.3
32,168,여수,2019-01-02 9:00,-0.1,,6.7,320.0,60.0,1026.0,0.5,0.05,,0.0,0.0
33,168,여수,2019-01-02 10:00,1.5,,8.1,320.0,55.0,1025.6,1.0,0.69,,2.0,3.4
34,168,여수,2019-01-02 11:00,2.1,,6.3,340.0,53.0,1025.1,1.0,1.19,,2.0,8.5
35,168,여수,2019-01-02 12:00,3.3,,5.3,340.0,47.0,1024.1,1.0,1.6,,0.0,13.1
36,168,여수,2019-01-02 13:00,4.4,,4.3,340.0,40.0,1023.1,1.0,1.75,,0.0,15.0
37,168,여수,2019-01-02 14:00,5.1,,4.8,340.0,36.0,1022.1,1.0,1.67,,0.0,7.3
38,168,여수,2019-01-02 15:00,4.8,,6.8,340.0,37.0,1021.9,1.0,1.37,,0.0,8.5
39,168,여수,2019-01-02 16:00,4.5,,8.1,320.0,42.0,1022.1,1.0,0.84,,0.0,6.2
40,168,여수,2019-01-02 17:00,4.1,,7.6,320.0,43.0,1022.6,1.0,0.22,,0.0,2.5
41,168,여수,2019-01-02 18:00,2.7,,7.0,320.0,45.0,1023.3,0.0,0.0,,0.0,0.4
42,168,여수,2019-01-02 19:00,1.8,,6.9,340.0,50.0,1023.7,,,,0.0,-0.1
43,168,여수,2019-01-02 20:00,1.0,,6.6,340.0,55.0,1024.0,,,,1.0,-1.0
44,168,여수,2019-01-02 21:00,0.5,,7.9,340.0,58.0,1023.7,,,,0.0,-1.4
45,168,여수,2019-01-02 22:00,0.0,,8.2,340.0,60.0,1023.9,,,,0.0,-1.7
46,168,여수,2019-01-02 23:00,-0.3,,5.6,340.0,59.0,1023.7,,,,0.0,-2.3
47,168,여수,2019-01-03 0:00,-0.6,,4.5,340.0,59.0,1024.1,,,,0.0,-2.9
48,168,여수,2019-01-03 1:00,-0.7,,6.0,340.0,56.0,1024.1,,,,0.0,-2.8
49,168,여수,2019-01-03 2:00,-0.7,,6.3,340.0,57.0,1024.3,,,,1.0,-2.8
50,168,여수,2019-01-03 3:00,-0.7,,7.7,340.0,59.0,1024.5,,,,0.0,-2.6
51,168,여수,2019-01-03 4:00,-0.8,,6.4,340.0,61.0,1024.3,,,,0.0,-2.4
52,168,여수,2019-01-03 5:00,-1.0,,4.1,360.0,60.0,1024.3,,,,0.0,-2.9
53,168,여수,2019-01-03 6:00,-1.3,,4.4,320.0,58.0,1024.7,,,,0.0,-3.3
54,168,여수,2019-01-03 7:00,-1.3,,5.2,320.0,49.0,1024.9,,,,0.0,-3.4
55,168,여수,2019-01-03 8:00,-1.2,,5.9,340.0,53.0,1025.2,0.0,0.0,,0.0,-2.8
